# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: C:\Users\gsm3\Downloads\SD-Project-2-master\SDProject2.csv
# Generated on: Mon Jun 04 15:37:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_W3,2,B2_N2,,
,Unknown,PIN_Y6,,,,
,Unknown,PIN_Y5,,,,
,Unknown,PIN_W7,2,B2_N2,,
,Unknown,PIN_W8,,,,
,Unknown,PIN_Y7,2,B2_N2,,
,Unknown,PIN_AA6,2,B2_N2,,
,Unknown,PIN_AA5,2,B2_N2,,
,Unknown,PIN_AA7,2,B2_N2,,
,Unknown,PIN_AB4,2,B2_N2,,
,Unknown,PIN_AE3,2,B2_N2,,
,Unknown,PIN_AF2,2,B2_N2,,
,Unknown,PIN_AC5,2,B2_N2,,
,Unknown,PIN_AC4,2,B2_N2,,
,Unknown,PIN_AB6,2,B2_N2,,
,Unknown,PIN_AB5,2,B2_N2,,
,Unknown,PIN_Y8,,,,
,Unknown,PIN_AA9,,,,
,Unknown,PIN_Y9,,,,
,Unknown,PIN_AD5,3,B3_N2,,
,Unknown,PIN_AE6,3,B3_N2,,
,Unknown,PIN_AD4,3,B3_N2,,
,Unknown,PIN_AF4,3,B3_N2,,
,Unknown,PIN_AE4,3,B3_N2,,
,Unknown,PIN_AG3,3,B3_N2,,
,Unknown,PIN_AD7,3,B3_N2,,
,Unknown,PIN_AE5,3,B3_N2,,
,Unknown,PIN_AF5,3,B3_N2,,
,Unknown,PIN_AH3,3,B3_N2,,
,Unknown,PIN_AF3,3,B3_N2,,
,Unknown,PIN_AF6,3,B3_N2,,
,Unknown,PIN_Y10,3,B3_N2,,
,Unknown,PIN_AG4,,,,
,Unknown,PIN_AH4,,,,
,Unknown,PIN_AD8,,,,
,Unknown,PIN_AC7,3,B3_N2,,
,Unknown,PIN_AG6,3,B3_N2,,
,Unknown,PIN_AH6,3,B3_N2,,
,Unknown,PIN_AB9,,,,
,Unknown,PIN_AB8,3,B3_N2,,
,Unknown,PIN_AD10,3,B3_N2,,
,Unknown,PIN_AG7,3,B3_N2,,
,Unknown,PIN_AH7,3,B3_N1,,
,Unknown,PIN_AB7,3,B3_N1,,
,Unknown,PIN_AC8,3,B3_N1,,
,Unknown,PIN_AA8,3,B3_N1,,
,Unknown,PIN_AA10,3,B3_N1,,
,Unknown,PIN_AG8,3,B3_N1,,
